URL followed by	REASON
URL: "http://gcmd.gsfc.nasa.gov/KeywordSearch/default/openSearch.jsp?Portal=GCMD"	Http code=500
URL: "http://gcmd.gsfc.nasa.gov/KeywordSearch/default/openSearch.jsp?Portal=GCMD"	Http code=500
URL: "http://gcmd.gsfc.nasa.gov/KeywordSearch/default/openSearch.jsp?Portal=agcs"	Http code=500
URL: "http://gcmd.gsfc.nasa.gov/KeywordSearch/default/openSearch.jsp?Portal=amd_au"	Http code=500
URL: "http://nsidc.org/arcticseaicenews/2011/01/repeat-of-a-negative-arctic-oscillation-leads-to-warm-arctic-low-sea-ice-extent/"	Http code=500
URL: "http://nsidc.org/arcticseaicenews/2009/110309.html"	Http code=403
URL: "http://nsidc.org/arcticseaicenews/2010/040610.html"	Http code=403
URL: "http://nsidc.org/arcticseaicenews/2010/040610.html"	Http code=403
URL: "http://nsidc.org/arcticseaicenews/2010/040610.html"	Http code=403
URL: "http://nsidc.org/arcticseaicenews/author/admin/page/3/"	Http code=403
URL: "http://nsidc.org/data/ir1hi2.html"	Http code=403
URL: "http://nsidc.org/icelights/2011/03/09/arctic-sea-ice-and-the-tipping-point/"	Http code=403
URL: "http://nsidc.org/noaa/iicwg/presentations/IICWG_2006/1_Monday/Sea%20Ice%20monitoring/Prelaunch%20Assessment%20of%20RADARSAT-2%20for%20Operational%20Ice%20Monitoring_Final_2.pdf"	Http code=403
URL: "http://nsidc.org/noaa/iicwg/presentations/IICWG_2006/1_Monday/Sea%20Ice%20monitoring/Prelaunch%20Assessment%20of%20RADARSAT-2%20for%20Operational%20Ice%20Monitoring_Final_2.pdf"	Http code=403
URL: "http://nsidc.org/noaa/iicwg/presentations/IICWG_2006/4_Thursday/Afternoon/"	Http code=403
URL: "http://nsidc.org/noaa/iicwg/presentations/IICWG_2006/4_Thursday/Afternoon/"	Http code=403
URL: "http://gcmd.gsfc.nasa.gov/KeywordSearch/Definitions.do?Portal=amd&KeywordPath=%5BKeyword%3D%26%23039%3Bglaciology%26%23039%3B%5D&NumericId=64791&MetadataType=0&lbnode=mdlb4"	Http code=403
URL: "http://gcmd.gsfc.nasa.gov/KeywordSearch/Definitions.do?Portal=amd&KeywordPath=%5BKeyword%3D%26%23039%3Bglaciology%26%23039%3B%5D&NumericId=64791&MetadataType=0&lbnode=mdlb4"	Http code=403
URL: "http://gcmd.gsfc.nasa.gov/KeywordSearch/Definitions.do?Portal=amd&KeywordPath=%5BKeyword%3D%26%23039%3Bglaciology%26%23039%3B%5D&NumericId=64791&MetadataType=0&lbnode=mdlb4"	Http code=403
